time,open,high,low,close,Up Marker,Down Marker
2025-02-26T07:30:00Z,22576.9,22576.9,22531.4,22552.4,0,1
2025-02-26T07:45:00Z,22552.4,22553.4,22523.4,22533.4,0,0
2025-02-26T08:00:00Z,22533.4,22606.4,22516.4,22570.9,0,0
2025-02-26T08:15:00Z,22570.9,22601.9,22550.9,22581.1,0,0
2025-02-26T08:30:00Z,22581.1,22612.6,22579.6,22586.1,0,0
2025-02-26T08:45:00Z,22586.1,22636.1,22579.1,22628.1,0,0
2025-02-26T09:00:00Z,22628.1,22665.6,22608.1,22645.6,0,0
2025-02-26T09:15:00Z,22645.6,22682.1,22645.1,22666.1,0,0
2025-02-26T09:30:00Z,22666.1,22679.1,22648.6,22657.6,0,0
2025-02-26T09:45:00Z,22657.6,22674.6,22638.1,22674.1,0,0
2025-02-26T10:00:00Z,22674.1,22723.1,22674.1,22691.1,1,0
2025-02-26T10:15:00Z,22691.1,22721.1,22680.6,22715.6,0,0
2025-02-26T10:30:00Z,22715.6,22717.1,22688.6,22701.6,0,0
2025-02-26T10:45:00Z,22701.6,22711.6,22690.1,22704.1,0,0
2025-02-26T11:00:00Z,22704.1,22705.1,22686.6,22700.1,0,0
2025-02-26T11:15:00Z,22700.1,22720.1,22700.1,22719.1,1,0
2025-02-26T11:30:00Z,22719.1,22764.1,22717.6,22747.6,0,0
2025-02-26T11:45:00Z,22747.6,22748.6,22701.6,22716.6,0,0
2025-02-26T12:00:00Z,22716.6,22774.6,22716.1,22766.1,0,0
2025-02-26T12:15:00Z,22766.1,22806.6,22763.6,22795.1,0,0
2025-02-26T12:30:00Z,22795.1,22808.1,22787.6,22791.1,0,0
2025-02-26T12:45:00Z,22791.1,22805.1,22781.6,22799.1,0,0
2025-02-26T13:00:00Z,22799.1,22808.1,22782.1,22796.1,0,0
2025-02-26T13:15:00Z,22796.1,22819.1,22792.1,22814.1,0,0
2025-02-26T13:30:00Z,22814.1,22836.6,22814.1,22816.6,1,0
2025-02-26T13:45:00Z,22816.6,22818.6,22759.1,22773.1,0,0
2025-02-26T14:00:00Z,22773.1,22775.1,22720.6,22732.6,0,0
2025-02-26T14:15:00Z,22732.6,22741.1,22691.1,22699.1,0,0
2025-02-26T14:30:00Z,22699.1,22711.6,22663.1,22696.1,0,0
2025-02-26T14:45:00Z,22696.1,22753.1,22684.1,22738.1,0,0
2025-02-26T15:00:00Z,22738.1,22762.1,22728.1,22762.1,0,0
2025-02-26T15:15:00Z,22762.1,22773.1,22731.1,22735.1,0,0
2025-02-26T15:30:00Z,22735.1,22767.1,22731.1,22762.1,0,0
2025-02-26T15:45:00Z,22762.1,22787.6,22758.1,22783.1,0,0
2025-02-26T16:00:00Z,22783.1,22802.1,22774.1,22783.1,0,0
2025-02-26T16:15:00Z,22783.1,22806.1,22777.1,22798.1,0,0
2025-02-26T16:30:00Z,22798.1,22813.1,22783.1,22800.1,0,0
2025-02-26T16:45:00Z,22800.1,22802.1,22763.6,22771.1,0,0
2025-02-26T17:00:00Z,22771.1,22793.6,22763.1,22789.1,0,0
2025-02-26T17:15:00Z,22789.1,22796.1,22766.6,22780.6,0,0
2025-02-26T17:30:00Z,22780.6,22793.6,22698.6,22723.1,0,0
2025-02-26T17:45:00Z,22723.1,22729.1,22670.1,22683.1,0,0
2025-02-26T18:00:00Z,22683.1,22686.6,22647.1,22674.6,0,0
2025-02-26T18:15:00Z,22674.6,22681.6,22640.1,22643.1,0,0
2025-02-26T18:30:00Z,22643.1,22654.6,22620.1,22624.1,0,0
2025-02-26T18:45:00Z,22624.1,22632.6,22594.1,22607.6,0,0
2025-02-26T19:00:00Z,22607.6,22622.1,22587.6,22605.6,0,0
2025-02-26T19:15:00Z,22605.6,22629.1,22596.1,22618.6,0,0
2025-02-26T19:30:00Z,22618.6,22645.6,22613.1,22642.1,0,0
2025-02-26T19:45:00Z,22642.1,22646.1,22604.1,22606.6,0,0
2025-02-26T20:00:00Z,22606.6,22628.1,22602.1,22621.1,0,0
2025-02-26T20:15:00Z,22621.1,22634.1,22614.1,22624.6,0,0
2025-02-26T20:30:00Z,22624.6,22653.1,22617.1,22650.1,0,0
2025-02-26T20:45:00Z,22650.1,22658.1,22636.1,22640.6,0,0
2025-02-26T21:00:00Z,22640.6,22662.54,22615.92,22641.35,0,0
2025-02-26T21:15:00Z,22641.35,22716.77,22549.21,22643.38,0,0
2025-02-26T21:30:00Z,22643.38,22673.33,22616.32,22663.84,0,0
2025-02-26T21:45:00Z,22663.84,22704.21,22662.42,22694.83,0,0
2025-02-26T22:00:00Z,22694.83,22694.83,22694.36,22694.36,0,1
2025-02-26T23:00:00Z,22694.36,22694.36,22641.8,22642.75,0,1
2025-02-26T23:15:00Z,22642.75,22658.94,22615.72,22638.35,0,0
2025-02-26T23:30:00Z,22638.35,22652.64,22635.56,22636.51,0,0
2025-02-26T23:45:00Z,22636.51,22665.14,22635.56,22662.29,0,0
2025-02-27T00:00:00Z,22662.29,22675.58,22649,22656.85,0,0
2025-02-27T00:15:00Z,22656.85,22705.1,22655.6,22669.6,0,0
2025-02-27T00:30:00Z,22669.6,22669.6,22654.1,22669.1,0,1
2025-02-27T00:45:00Z,22669.1,22672.6,22647.1,22647.1,0,0
2025-02-27T01:00:00Z,22647.1,22648.6,22616.1,22625.1,0,0
2025-02-27T01:15:00Z,22625.1,22635.1,22613.1,22613.1,0,0
2025-02-27T01:30:00Z,22613.1,22635.6,22612.1,22630.6,0,0
2025-02-27T01:45:00Z,22630.6,22640.6,22630.6,22631.6,1,0
2025-02-27T02:00:00Z,22631.6,22631.6,22604.1,22608.6,0,1
2025-02-27T02:15:00Z,22608.6,22626.1,22606.6,22626.1,0,0
2025-02-27T02:30:00Z,22626.1,22644.1,22626.1,22643.1,1,0
2025-02-27T02:45:00Z,22643.1,22643.1,22619.6,22628.6,0,1
2025-02-27T03:00:00Z,22628.6,22643.6,22628.6,22643.1,1,0
2025-02-27T03:15:00Z,22643.1,22650.6,22642.1,22648.1,0,0
2025-02-27T03:30:00Z,22648.1,22656.6,22642.6,22649.6,0,0
2025-02-27T03:45:00Z,22649.6,22649.6,22629.1,22629.1,0,1
2025-02-27T04:00:00Z,22629.1,22636.1,22625.1,22633.6,0,0
2025-02-27T04:15:00Z,22633.6,22635.6,22602.1,22616.6,0,0
2025-02-27T04:30:00Z,22616.6,22623.1,22610.1,22610.1,0,0
2025-02-27T04:45:00Z,22610.1,22621.6,22609.6,22620.1,0,0
2025-02-27T05:00:00Z,22620.1,22635.1,22618.6,22632.1,0,0
2025-02-27T05:15:00Z,22632.1,22649.1,22632.1,22643.6,1,0
2025-02-27T05:30:00Z,22643.6,22654.1,22635.1,22652.6,0,0
2025-02-27T05:45:00Z,22652.6,22664.6,22651.6,22653.1,0,0
2025-02-27T06:00:00Z,22653.1,22663.1,22648.1,22659.6,0,0
2025-02-27T06:15:00Z,22659.6,22686.1,22659.6,22680.1,1,0
2025-02-27T06:30:00Z,22680.1,22690.6,22671.1,22689.6,0,0
2025-02-27T06:45:00Z,22689.6,22701.6,22671.1,22678.1,0,0
2025-02-27T07:00:00Z,22678.1,22680.1,22630.6,22644.1,0,0
2025-02-27T07:15:00Z,22644.1,22652.1,22627.6,22628.1,0,0
2025-02-27T07:30:00Z,22628.1,22632.6,22606.6,22609.1,0,0
2025-02-27T07:45:00Z,22609.1,22622.6,22551.1,22568.1,0,0
2025-02-27T08:00:00Z,22568.1,22616.6,22531.6,22569.6,0,0
2025-02-27T08:15:00Z,22569.6,22593.1,22546.6,22564.1,0,0
2025-02-27T08:30:00Z,22564.1,22592.1,22506.6,22516.6,0,0
2025-02-27T08:45:00Z,22516.6,22532.1,22486.1,22530.6,0,0
2025-02-27T09:00:00Z,22530.6,22569.6,22522.6,22549.6,0,0
2025-02-27T09:15:00Z,22549.6,22593.6,22534.6,22589.6,0,0
2025-02-27T09:30:00Z,22589.6,22596.6,22569.6,22590.1,0,0
2025-02-27T09:45:00Z,22590.1,22602.6,22582.6,22594.1,0,0
2025-02-27T10:00:00Z,22594.1,22605.1,22561.6,22575.6,0,0
2025-02-27T10:15:00Z,22575.6,22603.1,22567.6,22572.1,0,0
2025-02-27T10:30:00Z,22572.1,22580.1,22539.6,22570.6,0,0
2025-02-27T10:45:00Z,22570.6,22596.6,22565.6,22591.6,0,0
2025-02-27T11:00:00Z,22591.6,22628.6,22584.1,22619.1,0,0
2025-02-27T11:15:00Z,22619.1,22652.6,22615.1,22644.6,0,0
2025-02-27T11:30:00Z,22644.6,22658.6,22633.6,22646.6,0,0
2025-02-27T11:45:00Z,22646.6,22660.1,22628.1,22653.6,0,0
2025-02-27T12:00:00Z,22653.6,22683.6,22652.6,22664.6,0,0
2025-02-27T12:15:00Z,22664.6,22667.6,22649.6,22661.6,0,0
2025-02-27T12:30:00Z,22661.6,22680.6,22653.6,22665.6,0,0
2025-02-27T12:45:00Z,22665.6,22671.6,22628.6,22636.6,0,0
2025-02-27T13:00:00Z,22636.6,22657.6,22634.6,22652.6,0,0
2025-02-27T13:15:00Z,22652.6,22658.6,22609.6,22616.6,0,0
2025-02-27T13:30:00Z,22616.6,22623.1,22574.1,22603.6,0,0
2025-02-27T13:45:00Z,22603.6,22616.1,22477.1,22529.1,0,0
2025-02-27T14:00:00Z,22529.1,22570.1,22516.6,22565.6,0,0
2025-02-27T14:15:00Z,22565.6,22577.6,22551.1,22563.1,0,0
2025-02-27T14:30:00Z,22563.1,22567.6,22497.1,22505.1,0,0
2025-02-27T14:45:00Z,22505.1,22528.1,22420.6,22433.1,0,0
2025-02-27T15:00:00Z,22433.1,22488.6,22376.1,22474.1,0,0
2025-02-27T15:15:00Z,22474.1,22551.6,22473.1,22513.1,0,0
2025-02-27T15:30:00Z,22513.1,22553.1,22487.6,22544.6,0,0
2025-02-27T15:45:00Z,22544.6,22553.1,22509.1,22517.6,0,0
2025-02-27T16:00:00Z,22517.6,22558.1,22510.6,22555.1,0,0
2025-02-27T16:15:00Z,22555.1,22563.1,22517.1,22521.1,0,0
2025-02-27T16:30:00Z,22521.1,22549.1,22518.1,22530.6,0,0
2025-02-27T16:45:00Z,22530.6,22536.6,22487.6,22492.1,0,0
